id;Name;fencer_id;tournament_id;status;first_rank;final_rank;percentile;victories;victories_perc;ts;tr;score_index
270;PLÁTEK Daniel;165;10;Advanced;27;23;0,29;4;0,67;27;24;3
271;POHNAN Kryštof;166;10;Advanced;12;34;0,43;5;0,83;26;15;11
272;POKORNÝ Richard;168;10;Advanced;3;9;0,11;6;1,00;30;9;21
273;POŠTA Marek;169;10;Eliminated;71;71;0,89;1;0,17;18;29;-11
274;PROCHÁZKA Ondřej;170;10;Advanced;57;58;0,73;2;0,33;20;24;-4
275;PRYL Dobromil;171;10;Advanced;62;62;0,78;2;0,33;18;26;-8
276;PUSTĚJOVSKÝ Vladimír;173;10;Advanced;55;56;0,70;2;0,33;22;25;-3
277;RUBEŠ Martin;177;10;Advanced;7;2;0,03;5;0,83;28;14;14
278;SALZER Matěj;183;10;Advanced;17;14;0,18;4;0,80;22;11;11
279;SKROVNÝ Petr;189;10;Advanced;52;54;0,68;2;0,33;24;25;-1
280;SMRČEK Šimon;190;10;Advanced;61;61;0,76;2;0,33;19;27;-8
281;SOKOL Vratislav;195;10;Advanced;20;36;0,45;4;0,67;26;19;7
282;STEHLÍK Jan;198;10;Advanced;11;7;0,09;5;0,83;27;16;11
283;STEIS Matúš;200;10;Advanced;32;40;0,50;3;0,60;19;17;2
284;STIRBER Sebastián;202;10;Advanced;21;20;0,25;4;0,67;25;19;6
285;STRAKA Tomáš;204;10;Advanced;37;15;0,19;3;0,50;23;22;1
286;SVOBODA Tomáš (ml.);212;10;Advanced;49;51;0,64;2;0,40;18;23;-5
287;SVOBODA Tomáš Kristián (st.);213;10;Eliminated;77;77;0,96;0;0,00;11;25;-14
288;ŠTVERÁK Martin;222;10;Advanced;59;60;0,75;2;0,33;20;26;-6
289;TOMAN Jan;226;10;Advanced;16;18;0,23;4;0,80;24;13;11
290;TŮMA Marek;232;10;Eliminated;65;65;0,81;2;0,33;13;25;-12
291;VALKOVIČ Martin;236;10;Eliminated;76;76;0,95;0;0,00;19;30;-11
292;VÁVRA Miroslav;245;10;Eliminated;78;78;0,98;0;0,00;12;30;-18
293;VÍTEK Daniel;247;10;Advanced;18;35;0,44;4;0,80;19;10;9
294;VOLÁK Samuel;242;10;Advanced;31;26;0,33;3;0,60;21;19;2
295;ADDO DJAN Theodor Ezekiel;2;13;Advanced;56;56;0,70;2;0,33;17;20;-3
296;ANDERLE Petr;6;13;Advanced;45;16;0,20;3;0,50;22;25;-3
297;BALCAR Josef;8;13;Advanced;9;2;0,03;5;0,83;25;11;14
298;BEDNÁR Kryštof;10;13;Eliminated;66;66;0,83;1;0,20;12;21;-9
299;BRADÁČ Petr;19;13;Advanced;46;47;0,59;3;0,50;19;22;-3
300;COUFAL František;31;13;Advanced;6;8;0,10;6;1,00;30;19;11
